Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Seasonally Adjusted,last_updated,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,property_type_id,Region,Region Type,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,0.953344172,0.30%,2.10%,Atlanta,436,5.60%,25.30%,990,0.20%,-24.60%,FALSE,3/15/2020 14:30,106.5,7.5,-22.5,180.5807623,0.042331727,0.059053059,325000,0.017373611,0.160714286,152.5929787,0.031142671,-0.045536407,$268K,3.80%,-9.90%,,,,636,24.70%,5.60%,0.369747899,0.172564801,0.155462185,"Atlanta, GA",12060,119,0.676056338,1.125,12/1/2011,90,2/29/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.149082569,-0.027672879,0.051381419,Georgia,GA,148918
Value,,1,0.942838499,-1.10%,1.70%,Atlanta,465,6.70%,37.20%,1074,8.50%,-18.50%,FALSE,3/15/2020 14:30,113,6.5,-14.5,188.4333963,0.043485441,0.005079997,395000,0.215384615,0.128571429,159.4032236,0.044630133,0.002382234,$293K,9.00%,3.50%,,,,831,30.70%,7.40%,0.293103448,-0.076644451,0.145735027,"Atlanta, GA",12060,116,-0.025210084,0.221052632,1/1/2012,90,3/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.116129032,-0.032953537,0.0187839,Georgia,GA,148918
Value,,1,0.948570789,0.60%,1.40%,Atlanta,515,10.80%,22.60%,1034,-3.70%,-23.60%,FALSE,3/15/2020 14:30,94.5,-18.5,-28.5,193.6231446,0.027541553,0.018651872,399900,0.012405063,0.030125836,163.6316257,0.026526453,0.026714096,$295K,0.90%,0.90%,,,,880,5.90%,7.10%,0.214285714,-0.078817734,0.045454545,"Atlanta, GA",12060,168,0.448275862,1.181818182,2/1/2012,90,4/30/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.114563107,-0.001565925,0.000277393,Georgia,GA,148918
Value,,1,0.949010726,0.00%,1.40%,Atlanta,588,14.20%,21.70%,1046,1.20%,-20.90%,FALSE,3/15/2020 14:30,74,-20.5,-45,192.6900585,-0.004819084,0.046001685,410000,0.025256314,0.080511266,167.4641649,0.023421751,0.048460992,$306K,3.60%,3.20%,,,,855,-2.80%,5.80%,0.205128205,-0.009157509,0.05967366,"Atlanta, GA",12060,117,-0.303571429,0.063636364,3/1/2012,90,5/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.12585034,0.011287233,0.032682638,Georgia,GA,148918
Value,,1,0.955325818,0.60%,1.80%,Atlanta,610,3.70%,18.90%,1006,-3.80%,-23.70%,FALSE,3/15/2020 14:30,63,-11,-43,188.5651233,-0.021407099,0.065019782,384900,-0.061219512,0.072144847,168.6746988,0.007228614,0.035384316,$329K,7.70%,10.00%,,,,772,-9.70%,1.30%,0.204225352,-0.000902853,0.027142019,"Atlanta, GA",12060,142,0.213675214,0.479166667,4/1/2012,90,6/30/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.142622951,0.016772611,0.045157064,Georgia,GA,148918
Value,,1,0.954798802,-0.10%,2.10%,Atlanta,659,8.00%,27.00%,961,-4.50%,-24.30%,FALSE,3/15/2020 14:30,68,5,-40,190.3739591,0.009592632,0.123676543,399900,0.038971161,0.21550152,176.6304348,0.047166149,0.077968762,$360K,9.40%,16.50%,,,,692,-10.40%,-2.40%,0.223214286,0.018988934,0.042363222,"Atlanta, GA",12060,112,-0.211267606,0.191489362,5/1/2012,90,7/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.142640364,1.74E-05,0.05400838,Georgia,GA,148918
Value,,1,0.956032971,0.10%,2.00%,Atlanta,626,-5.00%,19.90%,913,-5.00%,-28.50%,FALSE,3/15/2020 14:30,73,5,-29,188.3210034,-0.010783805,0.117006428,362000,-0.094773693,0.207069023,176.0873835,-0.003074506,0.102562246,$355K,-1.40%,22.50%,,,,656,-5.20%,-9.50%,0.226890756,0.003676471,-0.020421072,"Atlanta, GA",12060,119,0.0625,0.279569892,6/1/2012,90,8/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.153354633,0.010714268,0.053928246,Georgia,GA,148918
Value,,1,0.95525027,-0.10%,1.50%,Atlanta,558,-10.90%,19.20%,890,-2.50%,-27.50%,FALSE,3/15/2020 14:30,79,6,-25,190.9825715,0.014133145,0.1550752,385000,0.063535912,0.203501094,170.823892,-0.029891361,0.107783464,$331K,-6.80%,18.20%,,,,610,-7.00%,-6.60%,0.232323232,0.005432476,0.095959596,"Atlanta, GA",12060,99,-0.168067227,0.5,7/1/2012,90,9/30/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.143369176,-0.009985457,0.047420348,Georgia,GA,148918
Value,,1,0.952428206,-0.30%,1.00%,Atlanta,538,-3.60%,22.80%,856,-3.80%,-27.40%,FALSE,3/15/2020 14:30,74,-5,-29,182.7360349,-0.043179524,0.082064073,349950,-0.091038961,0.014347826,163.8400567,-0.040883246,0.088897119,$301K,-9.10%,20.60%,,,,625,2.50%,-4.30%,0.231404959,-0.000918274,0.085571625,"Atlanta, GA",12060,121,0.222222222,0.260416667,8/1/2012,90,10/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.167286245,0.02391707,0.0718317,Georgia,GA,148918
Value,,1,0.95370351,0.10%,0.90%,Atlanta,512,-4.80%,29.60%,808,-5.60%,-26.40%,FALSE,3/15/2020 14:30,67,-7,-37,188.5004049,0.031544791,0.114959612,375000,0.071581655,0.054259207,169.8614126,0.036751427,0.133780229,$314K,4.50%,26.30%,,,,584,-6.60%,6.60%,0.247619048,0.016214089,0.067291179,"Atlanta, GA",12060,105,-0.132231405,0.721311475,9/1/2012,90,11/30/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.169921875,0.00263563,0.043339597,Georgia,GA,148918
Value,,1,0.952309726,-0.10%,0.10%,Atlanta,551,7.60%,30.60%,739,-8.50%,-25.40%,FALSE,3/15/2020 14:30,66,-1,-31,188.0852335,-0.002202496,0.097114866,320000,-0.146666667,0.056604272,173.4597156,0.021183758,0.149170616,$365K,16.10%,40.40%,,,,501,-14.20%,0.00%,0.276595745,0.028976697,-0.017521902,"Atlanta, GA",12060,94,-0.104761905,0.382352941,10/1/2012,90,12/31/2012,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.165154265,-0.00476761,0.001647156,Georgia,GA,148918
Value,,1,0.953887007,0.20%,0.30%,Atlanta,482,-12.50%,16.70%,754,2.00%,-23.70%,FALSE,3/15/2020 14:30,75.5,9.5,-23.5,198.2045814,0.053801927,0.144058321,350000,0.09375,0.095633119,178.0950463,0.026722808,0.20347216,$382K,4.70%,47.90%,,,,525,4.80%,2.90%,0.292134831,0.015539087,0.094951733,"Atlanta, GA",12060,89,-0.053191489,0.253521127,11/1/2012,90,1/31/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.139004149,-0.026150116,-0.037751299,Georgia,GA,148918
Value,,1,0.955661689,0.20%,0.20%,Atlanta,453,-6.00%,3.90%,793,5.20%,-19.90%,FALSE,3/15/2020 14:30,81.5,6,-25,212.4051593,0.071646063,0.176233596,400000,0.142857143,0.230769231,184.673721,0.036939122,0.210237342,$386K,0.90%,43.70%,,,,612,16.60%,-3.80%,0.408333333,0.116198502,0.038585434,"Atlanta, GA",12060,120,0.348314607,0.008403361,12/1/2012,90,2/28/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.121412804,-0.017591346,-0.027669765,Georgia,GA,148918
Value,,1,0.960250757,0.50%,1.70%,Atlanta,482,6.40%,3.70%,797,0.50%,-25.80%,FALSE,3/15/2020 14:30,80,-1.5,-33,221.6761364,0.043647608,0.176416393,459000,0.1475,0.162025316,186.2087045,0.008311867,0.168161473,$372K,-3.60%,27.10%,,,,788,28.80%,-5.20%,0.406976744,-0.001356589,0.113873296,"Atlanta, GA",12060,172,0.433333333,0.482758621,1/1/2013,90,3/31/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.122406639,0.000993835,0.006277607,Georgia,GA,148918
Value,,1,0.960902529,0.10%,1.20%,Atlanta,580,20.30%,12.60%,839,5.30%,-18.90%,FALSE,3/15/2020 14:30,57,-23,-37.5,222.8434505,0.005265854,0.150913291,489900,0.067320261,0.225056264,190.7686412,0.024488311,0.165842119,$385K,3.60%,30.50%,,,,863,9.50%,-1.90%,0.309782609,-0.097194135,0.095496894,"Atlanta, GA",12060,184,0.069767442,0.095238095,2/1/2013,90,4/30/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.136206897,0.013800258,0.02164379,Georgia,GA,148918
Value,,1,0.960797625,0.00%,1.20%,Atlanta,696,20.00%,18.40%,876,4.40%,-16.30%,FALSE,3/15/2020 14:30,49.5,-7.5,-24.5,215.0650337,-0.034905297,0.116118991,459000,-0.063074097,0.119512195,192.4261874,0.008688777,0.14905889,$380K,-1.30%,24.40%,,,,915,6.00%,7.00%,0.299465241,-0.010317368,0.094337036,"Atlanta, GA",12060,187,0.016304348,0.598290598,3/1/2013,90,5/31/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.13362069,-0.002586207,0.00777035,Georgia,GA,148918
Value,,1,0.965973059,0.50%,1.10%,Atlanta,723,3.90%,18.50%,839,-4.20%,-16.60%,FALSE,3/15/2020 14:30,46,-3.5,-17,211.8644068,-0.014882135,0.123560938,439900,-0.0416122,0.142894258,192.9742838,0.002848346,0.144061825,$386K,1.60%,17.30%,,,,872,-4.70%,13.00%,0.232432432,-0.067032808,0.02820708,"Atlanta, GA",12060,185,-0.010695187,0.302816901,4/1/2013,90,6/30/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.132780083,-0.000840607,-0.009842868,Georgia,GA,148918
Value,,1,0.969445499,0.30%,1.50%,Atlanta,748,3.50%,13.50%,803,-4.30%,-16.40%,FALSE,3/15/2020 14:30,46,0,-22,206.1973986,-0.026748279,0.083117668,400000,-0.090702432,0.000250063,193.9393939,0.005001237,0.097995338,$383K,-0.80%,6.40%,,,,802,-8.00%,15.90%,0.219512195,-0.012920237,-0.003702091,"Atlanta, GA",12060,164,-0.113513514,0.464285714,5/1/2013,90,7/31/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.13368984,0.000909757,-0.008950525,Georgia,GA,148918
Value,,1,0.968486664,-0.10%,1.20%,Atlanta,705,-5.70%,12.60%,795,-1.00%,-12.90%,FALSE,3/15/2020 14:30,45,-1,-28,212.375,0.029959647,0.127728698,404950,0.012375,0.118646409,198.2853323,0.022408745,0.12606212,$385K,0.50%,8.50%,,,,739,-7.90%,12.70%,0.241830065,0.02231787,0.014939309,"Atlanta, GA",12060,153,-0.067073171,0.285714286,6/1/2013,90,8/31/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.131914894,-0.001774946,-0.021439739,Georgia,GA,148918
Value,,1,0.965078978,-0.30%,1.00%,Atlanta,663,-6.00%,18.80%,789,-0.80%,-11.30%,FALSE,3/15/2020 14:30,48,3,-31,207.2508927,-0.024127639,0.08518223,396750,-0.020249414,0.030519481,200.4716981,0.011026362,0.173557725,$375K,-2.60%,13.30%,,,,699,-5.40%,14.60%,0.206349206,-0.035480859,-0.025974026,"Atlanta, GA",12060,126,-0.176470588,0.272727273,7/1/2013,90,9/30/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.129518072,-0.002396821,-0.013851103,Georgia,GA,148918
Value,,1,0.96141846,-0.40%,0.90%,Atlanta,575,-13.30%,6.90%,793,0.50%,-7.40%,FALSE,3/15/2020 14:30,47.5,-0.5,-26.5,208.9086468,0.007998779,0.143226332,387000,-0.024574669,0.105872267,192.179612,-0.041362877,0.172970858,$350K,-6.70%,16.30%,,,,705,0.90%,12.80%,0.223076923,0.016727717,-0.008328036,"Atlanta, GA",12060,130,0.031746032,0.074380165,8/1/2013,90,10/31/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.114782609,-0.014735464,-0.052503637,Georgia,GA,148918
Value,,1,0.962978153,0.20%,0.90%,Atlanta,526,-8.50%,2.70%,754,-4.90%,-6.70%,FALSE,3/15/2020 14:30,51,3.5,-16,206.3535912,-0.012230493,0.09471166,349900,-0.095865633,-0.066933333,192.2075935,0.000145601,0.13155537,$351K,0.10%,11.50%,,,,618,-12.30%,5.80%,0.168421053,-0.05465587,-0.079197995,"Atlanta, GA",12060,95,-0.269230769,-0.095238095,9/1/2013,90,11/30/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.106463878,-0.00831873,-0.063457997,Georgia,GA,148918
Value,,1,0.959673347,-0.30%,0.70%,Atlanta,501,-4.80%,-9.10%,697,-7.60%,-5.70%,FALSE,3/15/2020 14:30,53,2,-13,213.2841328,0.033585758,0.133975958,365000,0.043155187,0.140625,192.1673954,-0.000209139,0.107850285,$350K,-0.10%,-4.10%,,,,530,-14.20%,5.80%,0.120879121,-0.047541932,-0.155716624,"Atlanta, GA",12060,91,-0.042105263,-0.031914894,10/1/2013,90,12/31/2013,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.093812375,-0.012651503,-0.07134189,Georgia,GA,148918
Value,,1,0.961550015,0.20%,0.80%,Atlanta,472,-5.80%,-2.10%,694,-0.40%,-8.00%,FALSE,3/15/2020 14:30,56,3,-19.5,213.7623796,0.002242299,0.078493635,385000,0.054794521,0.1,190.6232854,-0.008035234,0.070345803,$324K,-7.50%,-15.30%,,,,504,-4.90%,-4.00%,0.230769231,0.10989011,-0.061365601,"Atlanta, GA",12060,104,0.142857143,0.168539326,11/1/2013,90,1/31/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.086864407,-0.006947968,-0.052139743,Georgia,GA,148918
Value,,1,0.96041305,-0.10%,0.50%,Atlanta,444,-5.90%,-2.00%,731,5.30%,-7.80%,FALSE,3/15/2020 14:30,72,16,-9.5,222.314406,0.040007163,0.04665257,410000,0.064935065,0.025,189.6207585,-0.005259205,0.026787988,$318K,-1.80%,-17.60%,,,,582,15.50%,-4.90%,0.398373984,0.167604753,-0.00995935,"Atlanta, GA",12060,123,0.182692308,0.025,12/1/2013,90,2/28/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.094382022,0.007517616,-0.027030781,Georgia,GA,148918
Value,,1,0.964445525,0.40%,0.40%,Atlanta,486,9.50%,0.80%,812,11.10%,1.90%,FALSE,3/15/2020 14:30,66,-6,-14,223.7449118,0.006434607,0.009332423,442819,0.080046341,-0.035252723,189.626556,3.06E-05,0.01835495,$330K,3.90%,-11.10%,,,,823,41.40%,4.40%,0.394594595,-0.003779389,-0.01238215,"Atlanta, GA",12060,185,0.504065041,0.075581395,1/1/2014,90,3/31/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.129098361,0.034716338,0.006691722,Georgia,GA,148918
Value,,1,0.964733485,0.00%,0.40%,Atlanta,567,16.70%,-2.20%,845,4.10%,0.70%,FALSE,3/15/2020 14:30,51,-15,-6,229.2190117,0.024465807,0.028610045,499000,0.12687125,0.018575219,199.4764398,0.051943588,0.045645859,$360K,8.90%,-6.50%,,,,933,13.40%,8.10%,0.311004785,-0.08358981,0.001222176,"Atlanta, GA",12060,209,0.12972973,0.135869565,2/1/2014,90,4/30/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.144366197,0.015267837,0.008159301,Georgia,GA,148918
Value,,1,0.967893839,0.30%,0.70%,Atlanta,654,15.30%,-6.00%,843,-0.20%,-3.80%,FALSE,3/15/2020 14:30,38,-13,-11.5,229.2190117,0,0.065812549,492500,-0.013026052,0.072984749,207.45942,0.040019665,0.078124671,$390K,8.30%,2.60%,,,,972,4.20%,6.20%,0.282511211,-0.028493574,-0.01695403,"Atlanta, GA",12060,223,0.066985646,0.192513369,3/1/2014,90,5/31/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.152905199,0.008539002,0.019284509,Georgia,GA,148918
Value,,1,0.967161191,-0.10%,0.10%,Atlanta,675,3.20%,-6.60%,884,4.90%,5.40%,FALSE,3/15/2020 14:30,35,-3,-11,230.161492,0.004111702,0.086362242,465000,-0.055837563,0.057058422,209.362224,0.009171934,0.084922923,$395K,1.30%,2.30%,,,,884,-9.10%,1.40%,0.305084746,0.022573535,0.072652313,"Atlanta, GA",12060,177,-0.206278027,-0.043243243,4/1/2014,90,6/30/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.146666667,-0.006238532,0.013886584,Georgia,GA,148918
Value,,1,0.964413887,-0.30%,-0.50%,Atlanta,682,1.00%,-8.80%,878,-0.70%,9.30%,FALSE,3/15/2020 14:30,36,1,-10,230.0172612,-0.00062665,0.115519705,396700,-0.14688172,-0.00825,210.1631117,0.003825368,0.083653545,$389K,-1.60%,1.40%,,,,798,-9.70%,-0.50%,0.291390728,-0.013694017,0.071878533,"Atlanta, GA",12060,151,-0.146892655,-0.079268293,5/1/2014,90,7/31/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.130498534,-0.016168133,-0.003191306,Georgia,GA,148918
Value,,1,0.959590107,-0.50%,-0.90%,Atlanta,683,0.10%,-3.10%,870,-0.90%,9.40%,FALSE,3/15/2020 14:30,35.5,-0.5,-9.5,233.2832232,0.014198769,0.09844955,355000,-0.105117217,-0.123348562,210.2425876,0.000378163,0.060303277,$377K,-3.10%,-2.20%,,,,764,-4.30%,3.40%,0.278571429,-0.0128193,0.036741363,"Atlanta, GA",12060,140,-0.072847682,-0.08496732,6/1/2014,90,8/31/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.10380117,-0.026697364,-0.028113724,Georgia,GA,148918
Value,,1,0.958819346,-0.10%,-0.60%,Atlanta,646,-5.40%,-2.60%,863,-0.80%,9.40%,FALSE,3/15/2020 14:30,42,6.5,-6,232.3619632,-0.003949105,0.121162665,359000,0.011267606,-0.095148078,210.2284213,-6.74E-05,0.048668831,$365K,-3.10%,-2.70%,,,,731,-4.30%,4.60%,0.342465753,0.063894325,0.136116547,"Atlanta, GA",12060,146,0.042857143,0.158730159,7/1/2014,90,9/30/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.085007728,-0.018793442,-0.044510344,Georgia,GA,148918
Value,,1,0.959756822,0.10%,-0.20%,Atlanta,631,-2.30%,9.70%,847,-1.90%,6.80%,FALSE,3/15/2020 14:30,49,7,1.5,227.4683854,-0.02106015,0.088841409,354950,-0.011281337,-0.082816537,211.8390657,0.007661402,0.102297291,$352K,-3.50%,0.60%,,,,736,0.70%,4.40%,0.263157895,-0.079307859,0.040080972,"Atlanta, GA",12060,152,0.04109589,0.169230769,8/1/2014,90,10/31/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.090189873,0.005182145,-0.024592735,Georgia,GA,148918
Value,,1,0.959760103,0.00%,-0.30%,Atlanta,556,-11.90%,5.70%,833,-1.70%,10.50%,FALSE,3/15/2020 14:30,55,6,4,224.7883918,-0.011781829,0.089335982,367449.5,0.035214819,0.050155759,211.7149274,-0.000586003,0.101490964,$350K,-0.50%,0.00%,,,,676,-8.20%,9.40%,0.247706422,-0.015451473,0.079285369,"Atlanta, GA",12060,109,-0.282894737,0.147368421,9/1/2014,90,11/30/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.082585278,-0.007604595,-0.0238786,Georgia,GA,148918
Value,,1,0.959587298,0.00%,0.00%,Atlanta,559,0.50%,11.60%,823,-1.20%,18.10%,FALSE,3/15/2020 14:30,55,0,2,218.1758958,-0.029416537,0.022935428,350000,-0.047488158,-0.04109589,211.9756996,0.001231714,0.103078382,$370K,5.60%,5.70%,,,,577,-14.60%,8.90%,0.074626866,-0.173079556,-0.046252255,"Atlanta, GA",12060,67,-0.385321101,-0.263736264,10/1/2014,90,12/31/2014,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.080500894,-0.002084384,-0.013311481,Georgia,GA,148918
Value,,1,0.958255803,-0.10%,-0.30%,Atlanta,457,-18.20%,-3.20%,858,4.30%,23.60%,FALSE,3/15/2020 14:30,63,8,7,234.0039748,0.072547332,0.094692037,379000,0.082857143,-0.015584416,212.1530179,0.000836503,0.112943875,$395K,6.70%,21.90%,,,,592,2.60%,17.50%,0.257142857,0.182515991,0.026373626,"Atlanta, GA",12060,105,0.567164179,0.009615385,11/1/2014,90,1/31/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.059080963,-0.021419932,-0.027783444,Georgia,GA,148918
Value,,1,0.96025086,0.20%,0.00%,Atlanta,485,6.10%,9.20%,896,4.40%,22.60%,FALSE,3/15/2020 14:30,73,10,1,239.4948502,0.023464881,0.077279941,412500,0.088390501,0.006097561,210.4155708,-0.008189594,0.109665273,$363K,-8.20%,14.00%,,,,699,18.10%,20.10%,0.352517986,0.095375128,-0.045855998,"Atlanta, GA",12060,139,0.323809524,0.130081301,12/1/2014,90,2/28/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.086597938,0.027516975,-0.007784084,Georgia,GA,148918
Value,,1,0.963476252,0.30%,-0.10%,Atlanta,548,13.00%,12.80%,931,3.90%,14.70%,FALSE,3/15/2020 14:30,82,9,16,246.130031,0.027704899,0.1000475,450000,0.090909091,0.016216558,214.5454545,0.019627273,0.131410384,$375K,3.40%,13.50%,,,,916,31.00%,11.30%,0.286432161,-0.066085825,-0.108162434,"Atlanta, GA",12060,199,0.431654676,0.075675676,1/1/2015,90,3/31/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.109289617,0.022691679,-0.019808743,Georgia,GA,148918
Value,,1,0.964907577,0.10%,0.00%,Atlanta,675,23.20%,19.00%,960,3.10%,13.60%,FALSE,3/15/2020 14:30,68,-14,17,246.2526767,0.000498296,0.074311746,489000,0.086666667,-0.02004008,215.7164082,0.005457835,0.081412965,$368K,-1.90%,2.20%,,,,993,8.40%,6.40%,0.273631841,-0.01280032,-0.037372944,"Atlanta, GA",12060,201,0.010050251,-0.038277512,2/1/2015,90,4/30/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.107828656,-0.001460962,-0.036537541,Georgia,GA,148918
Value,,1,0.966432324,0.20%,-0.10%,Atlanta,735,8.90%,12.40%,1022,6.50%,21.20%,FALSE,3/15/2020 14:30,53,-15,15,245.1997197,-0.004275921,0.069718074,499000,0.020449898,0.01319797,220.5308353,0.022318317,0.063007094,$377K,2.40%,-3.40%,,,,1011,1.80%,4.00%,0.290909091,0.01727725,0.00839788,"Atlanta, GA",12060,165,-0.179104478,-0.260089686,3/1/2015,90,5/31/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.104619565,-0.003209091,-0.048285634,Georgia,GA,148918
Value,,1,0.967740563,0.10%,0.10%,Atlanta,767,4.40%,13.60%,991,-3.00%,12.10%,FALSE,3/15/2020 14:30,50,-3,15,237.3935822,-0.031835834,0.031421808,459900,-0.078356713,-0.010967742,228.9310905,0.038091069,0.093468946,$378K,0.20%,-4.40%,,,,954,-5.60%,7.90%,0.255813953,-0.035095137,-0.049270792,"Atlanta, GA",12060,215,0.303030303,0.214689266,4/1/2015,90,6/30/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.09517601,-0.009443555,-0.051490656,Georgia,GA,148918
Value,,1,0.968363129,0.10%,0.40%,Atlanta,800,4.30%,17.30%,962,-2.90%,9.60%,FALSE,3/15/2020 14:30,52.5,2.5,16.5,236.7477593,-0.002720473,0.029260839,450000,-0.021526419,0.134358457,229.3590252,0.001869273,0.091338167,$385K,2.10%,-0.80%,,,,896,-6.10%,12.30%,0.230769231,-0.025044723,-0.060621498,"Atlanta, GA",12060,182,-0.153488372,0.205298013,5/1/2015,90,7/31/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.1,0.00482399,-0.030498534,Georgia,GA,148918
Value,,1,0.968772108,0.00%,0.90%,Atlanta,775,-3.10%,13.50%,969,0.70%,11.40%,FALSE,3/15/2020 14:30,56,3.5,20.5,232.4029126,-0.018352219,-0.00377357,435000,-0.033333333,0.225352113,227.4932615,-0.008134686,0.082051282,$385K,-0.10%,2.30%,,,,867,-3.20%,13.50%,0.279220779,0.048451548,0.000649351,"Atlanta, GA",12060,154,-0.153846154,0.1,6/1/2015,90,8/31/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.095483871,-0.004516129,-0.008317299,Georgia,GA,148918
Value,,1,0.967111783,-0.20%,0.80%,Atlanta,677,-12.60%,4.80%,999,3.10%,15.80%,FALSE,3/15/2020 14:30,57,1,15,241.741975,0.040184791,0.040368104,431000,-0.009195402,0.200557103,221.7725426,-0.025146762,0.054912277,$369K,-4.30%,1.00%,,,,849,-2.10%,16.10%,0.232876712,-0.046344067,-0.109589041,"Atlanta, GA",12060,146,-0.051948052,0,7/1/2015,90,9/30/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.097345133,0.001861262,0.012337405,Georgia,GA,148918
Value,,1,0.967107159,0.00%,0.70%,Atlanta,600,-11.40%,-4.90%,967,-3.20%,14.20%,FALSE,3/15/2020 14:30,56,-1,7,237.5201288,-0.017464266,0.044189628,419000,-0.027842227,0.18044795,219.3399398,-0.010968908,0.035408361,$359K,-2.60%,1.90%,,,,808,-4.80%,9.80%,0.185897436,-0.046979276,-0.077260459,"Atlanta, GA",12060,156,0.068493151,0.026315789,8/1/2015,90,10/31/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.093023256,-0.004321877,0.002833382,Georgia,GA,148918
Value,,1,0.966706127,0.00%,0.70%,Atlanta,565,-5.80%,1.60%,926,-4.20%,11.20%,FALSE,3/15/2020 14:30,61.5,5.5,6.5,237.6037475,0.000352049,0.057010754,399900,-0.045584726,0.088312816,219.5902079,0.001141006,0.037197569,$365K,1.70%,4.20%,,,,706,-12.60%,4.40%,0.262711864,0.076814429,0.015005442,"Atlanta, GA",12060,118,-0.243589744,0.082568807,9/1/2015,90,11/30/2015,,,,All Residential,-1,"Atlanta, GA - Buckhead",Neighborhood,1,0.093474427,0.000451171,0.010889149,Georgia,GA,148918
